"ID";"Object";"Period";"Timestamp";"Year";"Month";"Day";"Time";"Week";"Day of the week";"Initial value";"Final value";"Average value";"Min. value";"Max. value";"Sum";"Counter";"Difference";"Integral"
708;"Temp Att StC";HOUR;1765911600;2025;12;16;20;51;2;27,360;27,320;27,277;27,220;27,360;191,000;6,000;-0,040;27,277
704;"Temp Att StB";HOUR;1765911600;2025;12;16;20;51;2;25,740;25,580;25,623;25,580;25,740;179,320;6,000;-0,160;25,623
700;"Temp Att StA";HOUR;1765911600;2025;12;16;20;51;2;26,440;25,860;26,106;25,860;26,440;182,640;6,000;-0,580;26,106
708;"Temp Att StC";HOUR;1765908000;2025;12;16;19;51;2;27,260;27,360;27,304;27,260;27,380;191,140;6,000;0,100;27,304
704;"Temp Att StB";HOUR;1765908000;2025;12;16;19;51;2;25,680;25,740;25,710;25,680;25,780;180,000;6,000;0,060;25,710
700;"Temp Att StA";HOUR;1765908000;2025;12;16;19;51;2;26,580;26,440;26,588;26,440;26,620;186,000;6,000;-0,140;26,588
708;"Temp Att StC";HOUR;1765904400;2025;12;16;18;51;2;27,100;27,260;27,178;27,100;27,260;190,260;6,000;0,160;27,178
704;"Temp Att StB";HOUR;1765904400;2025;12;16;18;51;2;25,560;25,680;25,617;25,560;25,680;179,380;6,000;0,120;25,617
700;"Temp Att StA";HOUR;1765904400;2025;12;16;18;51;2;26,540;26,580;26,548;26,500;26,600;185,860;6,000;0,040;26,548
708;"Temp Att StC";HOUR;1765900800;2025;12;16;17;51;2;26,980;27,100;27,062;26,980;27,120;189,420;6,000;0,120;27,062
704;"Temp Att StB";HOUR;1765900800;2025;12;16;17;51;2;25,480;25,560;25,507;25,440;25,580;178,600;6,000;0,080;25,507
700;"Temp Att StA";HOUR;1765900800;2025;12;16;17;51;2;26,560;26,540;26,543;26,480;26,580;185,800;6,000;-0,020;26,543
708;"Temp Att StC";HOUR;1765897200;2025;12;16;16;51;2;26,820;26,980;26,911;26,820;26,980;188,380;6,000;0,160;26,911
704;"Temp Att StB";HOUR;1765897200;2025;12;16;16;51;2;25,320;25,480;25,403;25,320;25,480;203,220;7,000;0,160;25,403
700;"Temp Att StA";HOUR;1765897200;2025;12;16;16;51;2;26,560;26,560;26,590;26,560;26,640;186,100;6,000;0,000;26,590
708;"Temp Att StC";HOUR;1765893600;2025;12;16;15;51;2;26,640;26,820;26,755;26,640;26,840;187,280;6,000;0,180;26,755
704;"Temp Att StB";HOUR;1765893600;2025;12;16;15;51;2;25,180;25,320;25,260;25,180;25,320;176,740;6,000;0,140;25,260
700;"Temp Att StA";HOUR;1765893600;2025;12;16;15;51;2;26,540;26,560;26,544;26,520;26,580;185,820;6,000;0,020;26,544
708;"Temp Att StC";DAY;1765839600;2025;12;16;;51;2;26,500;27,420;25,957;26,500;27,440;1818,180;58,000;0,920;259,573
708;"Temp Att StC";HOUR;1765890000;2025;12;16;14;51;2;26,500;26,640;15,038;26,500;26,640;106,300;4,000;0,140;15,038
704;"Temp Att StB";DAY;1765839600;2025;12;16;;51;2;25,080;25,760;24,253;25,080;25,780;1711,300;58,000;0,680;242,531
704;"Temp Att StB";HOUR;1765890000;2025;12;16;14;51;2;25,080;25,180;12,479;25,080;25,180;75,380;3,000;0,100;12,479
700;"Temp Att StA";DAY;1765839600;2025;12;16;;51;2;26,460;26,580;25,186;25,780;26,640;1769,340;58,000;0,120;251,860
700;"Temp Att StA";HOUR;1765890000;2025;12;16;14;51;2;26,460;26,540;14,257;26,460;26,540;106,020;4,000;0,080;14,257
